given_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,confidence_city_level,state,state_code,country,country_code,confidence_street_level,confidence,attribution,attribution_license,attribution_url
"INC	Basori Singh Masram	150, North Avenue, New Delhi	New Delhi		54000	2010",19.078204,72.83717,"51 A, North Avenue, Bandra G, Mumbai - 400054, MH, India",,51 A,North Avenue,400054,Zone 3,Bandra G,Mumbai,Mumbai City,,Maharashtra,MH,India,in,,0.33333333333333337,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Basori Singh Masram	150, Nonh Avenue , New Delhi	New Delhi		54000	2013",25.0489,85.4109,"Nonhi, Nalanda, India",,,,,,,Nonhi,Nalanda,0.5599999999999999,Bihar,BR,India,in,,0.0029405587061541684,,,https://www.whosonfirst.org/docs/licenses/
"INC	Basori Singh Masram	150, North Avenue New Delhi	New Delhi		24000	2013",19.078204,72.83717,"51 A, North Avenue, Bandra G, Mumbai - 400054, MH, India",,51 A,North Avenue,400054,Zone 3,Bandra G,Mumbai,Mumbai City,,Maharashtra,MH,India,in,,0.28169014084507044,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Basudev Acharia	21 Ashoka Road,  New Delhi 	New Delhi		450000	2012",28.620795,77.218377,"19, Ashoka Road, Connaught Place, Delhi - 110001, DL, India",,19,Ashoka Road,110001,,Connaught Place,Delhi,South West,0.5625,Delhi,DL,India,in,0.5625,0.47000000000000003,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Basudev Acharia	21 Ashoka Road, New Delhi	New Delhi		450000	2013",28.620795,77.218377,"19, Ashoka Road, Connaught Place, Delhi - 110001, DL, India",,19,Ashoka Road,110001,,Connaught Place,Delhi,South West,0.5625,Delhi,DL,India,in,0.5625,0.2625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Basudev Acharia	21 Ashoka Road, New Delhi	New Delhi		400000	2010",28.620795,77.218377,"19, Ashoka Road, Connaught Place, Delhi - 110001, DL, India",,19,Ashoka Road,110001,,Connaught Place,Delhi,South West,0.5625,Delhi,DL,India,in,0.5625,0.2625,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Basudev Acharia	21, Ashoka Road New Delhi	New Delhi		75000	2014",28.620795,77.218377,"19, Ashoka Road, Connaught Place, Delhi - 110001, DL, India",,19,Ashoka Road,110001,,Connaught Place,Delhi,South West,0.5625,Delhi,DL,India,in,0.5625,0.26636029411764706,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CPI(M)	Basudev Acharia	21 Ashoka Raod New Delhi 	New Delhi		450000	2011,28.620795,77.218377,"19, Ashoka Road, Connaught Place, Delhi - 110001, DL, India",,19,Ashoka Road,110001,,Connaught Place,Delhi,South West,0.5625,Delhi,DL,India,in,0.5343749999999999,0.3840140845070422,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Beano Maharana	Madhuban Niwas, Pithoragarh, Champawat			100000	2011",,,,,,,,,,,,,,,,,,,,,
BJP	Becbon Enterprise	Dist. Surendranagar			500000	2012,,,,,,,,,,,,,,,,,,,,,
BJP	Becbon Project Ltd.	Dist. Surendranagar			500000	2012,,,,,,,,,,,,,,,,,,,,,
BJP	Beckboan Enterprise	Jetpur			250000	2012,,,,,,,,,,,,,,,,,,,,,
"BJP	Beekay Steel India Pvt Ltd	2/1A, Sarat Bose Road Kolkata-700020	Kolkata	West Bengal	50000	2013",22.540079,88.354307,"5B, Lansdowne Road (Sarat Bose Road), Ward 70, Kolkata - 700020, WB, India",,5B,Lansdowne Road (Sarat Bose Road),700020,Borough No. VIII,Ward 70,Kolkata,Kolkata,1,West Bengal,WB,India,in,0.2,0.126,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Beni Prasad Verma	3, Kushak Road, New Delhi	New Delhi		108000	2013",28.579352,77.229923,"Kushak Nallah Bus Depot, Defence Colony, Delhi -, DL, India",,,Kushak Nallah Bus Depot,,,Defence Colony,Delhi,South West,0.5625,Delhi,DL,India,in,0.5343749999999999,0.03140495867768595,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Beni Prasad Verma	3, Kushak Road New Delhi	New Delhi		24000	2013",28.579352,77.229923,"Kushak Nallah Bus Depot, Defence Colony, Delhi -, DL, India",,,Kushak Nallah Bus Depot,,,Defence Colony,Delhi,South West,0.5625,Delhi,DL,India,in,0.5343749999999999,0.03140495867768595,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
